customer_id,segment,age,gender,loyalty_member
C00001,Health Seekers,50,M,False
C00002,Chronic Loyalists,40,M,True
C00003,Rx-Only,45,F,True
C00004,Occasional Visitors,59,M,False
C00005,Rx-Only,43,M,True
C00006,Rx-Only,63,M,False
C00007,Rx-Only,68,F,True
C00008,Rx-Only,24,F,True
C00009,Chronic Loyalists,25,F,True
C00010,Health Seekers,74,M,True
C00011,Rx-Only,29,M,False
C00012,Chronic Loyalists,25,M,True
C00013,Rx-Only,50,F,False
C00014,Health Seekers,57,F,False
C00015,Chronic Loyalists,61,F,True
C00016,Occasional Visitors,47,F,True
C00017,Health Seekers,50,F,True
C00018,Rx-Only,22,M,True
C00019,Chronic Loyalists,29,F,False
C00020,Price Sensitives,62,F,False
C00021,Rx-Only,54,M,True
C00022,Occasional Visitors,65,F,False
C00023,Rx-Only,58,F,False
C00024,Rx-Only,35,F,True
C00025,Chronic Loyalists,34,M,False
C00026,Health Seekers,53,F,True
C00027,Rx-Only,64,M,False
C00028,Health Seekers,43,F,True
C00029,Rx-Only,27,F,True
C00030,Price Sensitives,32,M,True
C00031,Health Seekers,54,M,True
C00032,Occasional Visitors,62,M,True
C00033,Rx-Only,58,F,True
C00034,Price Sensitives,75,M,True
C00035,Rx-Only,70,M,True
C00036,Rx-Only,70,M,False
C00037,Rx-Only,23,M,True
C00038,Price Sensitives,40,F,True
C00039,Rx-Only,27,M,True
C00040,Health Seekers,38,F,True
C00041,Rx-Only,32,F,False
C00042,Health Seekers,27,F,False
C00043,Health Seekers,47,F,True
C00044,Chronic Loyalists,54,M,True
C00045,Occasional Visitors,46,M,True
C00046,Occasional Visitors,28,F,False
C00047,Rx-Only,70,M,True
C00048,Rx-Only,53,F,True
C00049,Occasional Visitors,37,F,False
C00050,Occasional Visitors,45,F,False
C00051,Occasional Visitors,61,F,True
C00052,Chronic Loyalists,56,F,True
C00053,Rx-Only,75,M,False
C00054,Occasional Visitors,54,F,True
C00055,Health Seekers,29,F,True
C00056,Rx-Only,72,F,True
C00057,At-Risk Lapsing,66,F,False
C00058,Rx-Only,42,F,True
C00059,Price Sensitives,69,M,True
C00060,Rx-Only,38,F,True
C00061,Price Sensitives,56,F,False
C00062,Health Seekers,67,F,False
C00063,Chronic Loyalists,42,M,True
C00064,Chronic Loyalists,46,M,False
C00065,Rx-Only,45,M,True
C00066,Chronic Loyalists,48,M,True
C00067,Chronic Loyalists,75,M,True
C00068,Rx-Only,71,F,False
C00069,Chronic Loyalists,57,F,True
C00070,Occasional Visitors,33,F,True
C00071,Rx-Only,53,F,True
C00072,Chronic Loyalists,43,F,True
C00073,Occasional Visitors,75,F,True
C00074,Occasional Visitors,65,F,True
C00075,Occasional Visitors,53,F,True
C00076,Rx-Only,73,M,False
C00077,Health Seekers,38,M,True
C00078,Chronic Loyalists,58,M,True
C00079,Occasional Visitors,74,M,False
C00080,Rx-Only,53,F,True
C00081,Price Sensitives,22,F,True
C00082,Rx-Only,43,F,True
C00083,Health Seekers,58,M,True
C00084,Chronic Loyalists,51,F,True
C00085,Occasional Visitors,42,F,True
C00086,Rx-Only,44,M,False
C00087,Chronic Loyalists,52,M,False
C00088,Rx-Only,66,M,True
C00089,Price Sensitives,49,F,False
C00090,Rx-Only,71,F,True
C00091,Rx-Only,58,F,False
C00092,Price Sensitives,65,M,True
C00093,Health Seekers,72,F,True
C00094,Health Seekers,47,F,True
C00095,Health Seekers,25,F,True
C00096,Price Sensitives,57,M,False
C00097,Rx-Only,58,F,False
C00098,Occasional Visitors,57,M,False
C00099,Health Seekers,53,F,True
C00100,Occasional Visitors,56,M,False
C00101,Rx-Only,69,M,True
C00102,Health Seekers,33,F,False
C00103,Health Seekers,35,F,True
C00104,Rx-Only,74,M,True
C00105,Occasional Visitors,57,F,False
C00106,Chronic Loyalists,74,F,True
C00107,Chronic Loyalists,56,F,True
C00108,At-Risk Lapsing,30,F,True
C00109,Chronic Loyalists,28,M,True
C00110,Occasional Visitors,23,M,True
C00111,At-Risk Lapsing,69,F,False
C00112,Health Seekers,28,F,False
C00113,Occasional Visitors,40,F,True
C00114,Rx-Only,47,M,True
C00115,Chronic Loyalists,49,F,True
C00116,Occasional Visitors,60,F,True
C00117,At-Risk Lapsing,70,M,True
C00118,Rx-Only,65,F,True
C00119,Price Sensitives,75,F,False
C00120,Health Seekers,40,F,True
C00121,Chronic Loyalists,36,F,True
C00122,Health Seekers,44,M,True
C00123,Rx-Only,49,M,True
C00124,Rx-Only,71,M,True
C00125,At-Risk Lapsing,75,M,True
C00126,Rx-Only,34,F,True
C00127,Chronic Loyalists,27,F,True
C00128,Price Sensitives,31,F,False
C00129,Chronic Loyalists,76,M,False
C00130,At-Risk Lapsing,70,M,True
C00131,Health Seekers,48,F,True
C00132,Rx-Only,22,M,True
C00133,Occasional Visitors,52,F,False
C00134,Rx-Only,74,F,False
C00135,Health Seekers,30,M,False
C00136,Chronic Loyalists,22,F,True
C00137,Chronic Loyalists,47,F,True
C00138,Rx-Only,33,F,False
C00139,Price Sensitives,38,M,True
C00140,Occasional Visitors,42,F,False
C00141,Price Sensitives,55,M,True
C00142,Health Seekers,48,M,True
C00143,Rx-Only,45,F,True
C00144,Price Sensitives,26,F,True
C00145,Occasional Visitors,38,M,True
C00146,At-Risk Lapsing,74,M,True
C00147,Rx-Only,32,M,True
C00148,Rx-Only,32,M,True
C00149,Occasional Visitors,46,F,True
C00150,Occasional Visitors,71,F,True
C00151,Occasional Visitors,39,M,True
C00152,Chronic Loyalists,22,F,True
C00153,Health Seekers,35,M,True
C00154,Occasional Visitors,43,M,False
C00155,Price Sensitives,38,M,False
C00156,Occasional Visitors,73,M,True
C00157,Rx-Only,47,F,True
C00158,Occasional Visitors,35,M,True
C00159,Occasional Visitors,44,F,True
C00160,Chronic Loyalists,59,F,True
C00161,Occasional Visitors,49,M,True
C00162,Chronic Loyalists,47,F,True
C00163,Rx-Only,25,M,True
C00164,Chronic Loyalists,68,F,True
C00165,Rx-Only,63,M,True
C00166,Rx-Only,77,F,True
C00167,Health Seekers,43,M,True
C00168,Chronic Loyalists,51,M,False
C00169,Chronic Loyalists,52,M,False
C00170,Price Sensitives,41,F,False
C00171,Occasional Visitors,70,F,True
C00172,Occasional Visitors,23,F,True
C00173,Health Seekers,65,M,False
C00174,Chronic Loyalists,41,M,True
